# Rounds: 100, Loops: 1000, Buffer: 10
#Round	Pages	Alloc	PAlloc	Free
0	2	5824	8192	2368
1	3	8160	12288	4128
2	3	8448	12288	3840
3	2	6304	8192	1888
4	5	15296	20480	5184
5	3	6528	12288	5760
6	1	1760	4096	2336
7	3	8224	12288	4064
8	2	1728	8192	6464
9	2	6528	8192	1664
10	3	4960	12288	7328
11	2	3488	8192	4704
12	2	4384	8192	3808
13	3	8064	12288	4224
14	1	2528	4096	1568
15	2	4448	8192	3744
16	3	9120	12288	3168
17	3	7712	12288	4576
18	2	4704	8192	3488
19	2	5632	8192	2560
20	2	2208	8192	5984
21	2	4992	8192	3200
22	1	2976	4096	1120
23	2	3360	8192	4832
24	2	7968	8192	224
25	1	2688	4096	1408
26	2	6528	8192	1664
27	4	12576	16384	3808
28	3	9472	12288	2816
29	3	7008	12288	5280
30	2	7616	8192	576
31	2	4320	8192	3872
32	2	3936	8192	4256
33	5	13984	20480	6496
34	1	736	4096	3360
35	5	15808	20480	4672
36	3	8864	12288	3424
37	4	12384	16384	4000
38	2	4704	8192	3488
39	2	5664	8192	2528
40	2	5120	8192	3072
41	3	7328	12288	4960
42	3	5632	12288	6656
43	3	11104	12288	1184
44	3	8704	12288	3584
45	4	8768	16384	7616
46	2	6560	8192	1632
47	5	15808	20480	4672
48	3	8960	12288	3328
49	3	8896	12288	3392
50	3	9280	12288	3008
51	2	5056	8192	3136
52	2	5504	8192	2688
53	3	5760	12288	6528
54	2	1536	8192	6656
55	2	4576	8192	3616
56	3	8352	12288	3936
57	2	3424	8192	4768
58	2	2944	8192	5248
59	2	5120	8192	3072
60	3	6912	12288	5376
61	4	9536	16384	6848
62	2	1952	8192	6240
63	1	1472	4096	2624
64	3	10400	12288	1888
65	4	7840	16384	8544
66	4	13984	16384	2400
67	2	3648	8192	4544
68	2	2176	8192	6016
69	2	5312	8192	2880
70	2	7776	8192	416
71	2	7008	8192	1184
72	2	3392	8192	4800
73	3	7744	12288	4544
74	1	2336	4096	1760
75	4	12928	16384	3456
76	4	9440	16384	6944
77	1	3520	4096	576
78	4	12000	16384	4384
79	2	6080	8192	2112
80	3	8160	12288	4128
81	2	5696	8192	2496
82	3	6944	12288	5344
83	3	9216	12288	3072
84	3	9920	12288	2368
85	4	12992	16384	3392
86	2	7296	8192	896
87	6	18880	24576	5696
88	2	5728	8192	2464
89	3	10048	12288	2240
90	2	4608	8192	3584
91	2	5248	8192	2944
92	3	9376	12288	2912
93	4	10368	16384	6016
94	2	4864	8192	3328
95	3	9440	12288	2848
96	3	9408	12288	2880
97	2	3488	8192	4704
98	2	4736	8192	3456
99	2	3328	8192	4864
